Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Banana,2000,Whole Year ,Andhra Pradesh,49051,819660,935.6,4815336.67,12753.26,17.63090909
Coconut ,2000,Whole Year ,Andhra Pradesh,102646,1092707179,935.6,10076757.82,26687.96,9101.813684
Cotton(lint),2000,Kharif     ,Andhra Pradesh,1021721,1662683,935.6,100302350.6,265647.46,1.687727273
Onion,2000,Kharif     ,Andhra Pradesh,17058,227873,935.6,1674583.86,4435.08,12.77315789
Onion,2000,Rabi       ,Andhra Pradesh,13248,308617,935.6,1300556.16,3444.48,22.5085
Potato,2000,Whole Year ,Andhra Pradesh,2489,14618,935.6,244345.13,647.14,6.14375
Rice,2000,Kharif     ,Andhra Pradesh,3003673,8233806,935.6,294870578.4,780954.98,2.7
Rice,2000,Rabi       ,Andhra Pradesh,1239053,4224208,935.6,121637833,322153.78,2.939090909
Wheat,2000,Rabi       ,Andhra Pradesh,14261,8121,935.6,1400002.37,3707.86,0.581818182
Banana,2000,Whole Year ,Assam,42534,590095,1965.5,4175562.78,11058.84,13.73217391
Coconut ,2000,Whole Year ,Assam,20913,135910000,1965.5,2053029.21,5437.38,5771.352609
Cotton(lint),2000,Kharif     ,Assam,1673,760,1965.5,164238.41,434.98,0.426521739
Onion,2000,Whole Year ,Assam,7359,17156,1965.5,722433.03,1913.34,2.331304348
Potato,2000,Whole Year ,Assam,80504,668457,1965.5,7903077.68,20931.04,7.459565217
Rice,2000,Autumn     ,Assam,539665,557764,1965.5,52978913.05,140312.9,1.197826087
Rice,2000,Summer     ,Assam,329255,681027,1965.5,32322963.35,85606.3,1.825217391
Rice,2000,Winter     ,Assam,1777257,2759652,1965.5,174473319.7,462086.82,1.581304348
Wheat,2000,Rabi       ,Assam,70301,85695,1965.5,6901449.17,18278.26,1.175909091
Banana,2000,Whole Year ,Goa,2000,14745,3886.9,196340,520,7.37
Coconut ,2000,Whole Year ,Goa,25025,125120000,3886.9,2456704.25,6506.5,4999.8
Rice,2000,Kharif     ,Goa,41000,96568,3886.9,4024970,10660,2.36
Rice,2000,Rabi       ,Goa,16207,45555,3886.9,1591041.19,4213.82,2.81
Banana,2000,Whole Year ,Karnataka,35335,649567,1213.3,3468836.95,9187.1,18.36037037
