Crop,Year,Season,State,Area,Production,Rainfall,Yield,season_code,crop_code
Maize,2001,Kharif,Andhra Pradesh,337533.0,986011,928.4,2.801818182,1,0
Maize,2001,Rabi,Andhra Pradesh,90752.0,470744,928.4,5.592857143,2,0
Onion,2001,Kharif,Andhra Pradesh,17736.0,234978,928.4,12.74411765,1,1
Onion,2001,Rabi,Andhra Pradesh,14089.0,324477,928.4,21.08136364,2,1
Rice,2001,Kharif,Andhra Pradesh,2426073.0,6500545,928.4,2.627272727,1,2
Rice,2001,Rabi,Andhra Pradesh,1398674.0,4889246,928.4,3.025909091,2,2
Wheat,2001,Rabi,Andhra Pradesh,13793.0,9486,928.4,0.6275,2,3
Maize,2001,Kharif,Assam,19600.0,13940,1824.7,0.608695652,1,0
Onion,2001,Whole Year,Assam,7476.0,17453,1824.7,2.351304348,4,1
Rice,2001,Autumn,Assam,495698.0,487719,1824.7,1.120434783,0,2
Rice,2001,Summer,Assam,325987.0,653036,1824.7,1.806521739,3,2
Rice,2001,Winter,Assam,1714736.0,2713493,1824.7,1.600434783,5,2
Wheat,2001,Rabi,Assam,72245.0,85300,1824.7,1.185217391,2,3
Rice,2001,Kharif,Goa,32746.0,79071,2530.6,2.41,1,2
Rice,2001,Rabi,Goa,16637.0,47452,2530.6,2.85,2,2
Maize,2001,Kharif,Karnataka,505574.0,1274858,1002.9,2.663333333,1,0
Maize,2001,Rabi,Karnataka,65189.0,152769,1002.9,2.279,2,0
Maize,2001,Summer,Karnataka,9272.0,23960,1002.9,2.6265,3,0
Onion,2001,Whole Year,Karnataka,125815.0,721033,1002.9,7.9108,4,1
Rice,2001,Kharif,Karnataka,1087967.0,2393946,1002.9,2.154814815,1,2
Rice,2001,Rabi,Karnataka,53480.0,99699,1002.9,1.840714286,2,2
Rice,2001,Summer,Karnataka,276277.0,740400,1002.9,2.4368,3,2
Wheat,2001,Rabi,Karnataka,260486.0,198822,1002.9,0.777333333,2,3
Rice,2001,Autumn,Kerala,116540.0,235838,2946.7,1.886923077,0,2
Rice,2001,Summer,Kerala,43850.0,105032,2946.7,2.151428571,3,2
Rice,2001,Winter,Kerala,161978.0,362634,2946.7,2.153571429,5,2
Maize,2001,Kharif,Meghalaya,16866.0,25247,4241.0,1.471428571,1,0
Rice,2001,Kharif,Meghalaya,107761.0,188971,4241.0,1.751428571,1,2
Wheat,2001,Rabi,Meghalaya,2753.0,4812,4241.0,1.455,2,3
Onion,2001,Whole Year,Puducherry,16.0,251,1434.5875,15.69,4,1
Rice,2001,Kharif,Puducherry,26263.0,66868,1434.5875,2.415,1,2
Maize,2001,Kharif,West Bengal,33288.0,86409,1556.6,2.314285714,1,0
Rice,2001,Autumn,West Bengal,353048.0,731778,1556.6,2.094705882,0,2
Rice,2001,Summer,West Bengal,1366273.0,4166145,1556.6,2.788823529,3,2
Rice,2001,Winter,West Bengal,3783766.0,8917625,1556.6,2.235294118,5,2
Wheat,2001,Rabi,West Bengal,434004.0,961533,1556.6,2.109444444,2,3
Maize,2002,Kharif,Andhra Pradesh,413659.0,912047,648.1,1.491363636,1,0
Maize,2002,Rabi,Andhra Pradesh,111990.0,573695,648.1,5.602272727,2,0
Onion,2002,Kharif,Andhra Pradesh,15403.0,171950,648.1,10.49411765,1,1
Onion,2002,Rabi,Andhra Pradesh,11725.0,240657,648.1,19.15952381,2,1
Rice,2002,Kharif,Andhra Pradesh,2109301.0,5054013,648.1,2.202727273,1,2
Rice,2002,Rabi,Andhra Pradesh,712766.0,2272773,648.1,2.533636364,2,2
Wheat,2002,Rabi,Andhra Pradesh,11044.0,14898,648.1,1.09,2,3
Maize,2002,Kharif,Assam,19812.0,14194,1973.6,0.606086957,1,0
Onion,2002,Whole Year,Assam,7500.0,17467,1973.6,2.337826087,4,1
Rice,2002,Autumn,Assam,464497.0,444884,1973.6,1.076521739,0,2
